答案	模型預測	內文
[1, 1, 0, 1, 0]	[1, 0, 1, 1, 0]	我很會多方分析 頭腦聰明	0.5062255859375 0.472171813249588 0.6176010370254517 0.571158766746521 0.4397645890712738
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我ㄧ直很有福氣 很多選項可以思考選擇	0.4964425265789032 0.4538536071777344 0.6274673342704773 0.5510535836219788 0.4393746852874756
[1, 0, 0, 0, 0]	[1, 0, 1, 1, 0]	鼓勵肯定成功轉化缺點的自己	0.5040524005889893 0.46731290221214294 0.622599720954895 0.5709317922592163 0.438491553068161
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我很謹慎評估自己的問題	0.47841352224349976 0.4698942303657532 0.6259785890579224 0.5803138017654419 0.45142126083374023
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	如果我能善用部份 只要不過度害怕做決定 會是一個好特質	0.4953227639198303 0.4569703936576843 0.6134726405143738 0.550984263420105 0.4410189986228943
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	是一個好機會我能訓練自己決定事情的能力 從之中衍生出自信	0.47973012924194336 0.45596474409103394 0.6121525764465332 0.5785744190216064 0.43950697779655457
[1, 0, 0, 0, 0]	[1, 0, 1, 1, 0]	是一個很好突破自我的機會	0.5043718218803406 0.46540093421936035 0.6130868792533875 0.5841130018234253 0.42716893553733826
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	不自信其實代表了我總是覺得別人很棒很好 也我擅長發現別人的優點。	0.49733197689056396 0.4590646028518677 0.6260395646095276 0.574690043926239 0.4291268587112427
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	不自信代表了我對自己的要求比較高 所以我會常常反省自己 也會讓自己進步跟反思的比別人更快。	0.48629486560821533 0.4642251431941986 0.6195237040519714 0.5805309414863586 0.432589590549469
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	不自信代表了我總是先想到別人 所以我能跟大家和睦相處 也很能團隊合作。	0.48234662413597107 0.46240127086639404 0.6155328750610352 0.5758944749832153 0.4344727098941803
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	沒有決定也等於有無限可能	0.49462661147117615 0.4835866391658783 0.620906412601471 0.5672062039375305 0.44338610768318176
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	能夠多方位嘗試 不受一種職業的訓練侷限	0.47735559940338135 0.4692647159099579 0.6217830181121826 0.5630213618278503 0.4344238042831421
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	因為沒有選擇 所以可以自己開發出一種結合各種不同領域的選項	0.468060165643692 0.469463586807251 0.6096091866493225 0.5822216272354126 0.42699816823005676
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	不受經驗或傳統影響做決定 能夠時時接受創新	0.4827355742454529 0.4886651635169983 0.5916333794593811 0.5768997073173523 0.4352874755859375
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	想太多其實是希望能做的更謹慎的處理做事情	0.4987291395664215 0.4714075028896332 0.6023120284080505 0.5777792930603027 0.4285891056060791
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	習慣想得周全才能一次到位	0.4744158685207367 0.4566028118133545 0.6121939420700073 0.5806378722190857 0.4247879087924957
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	考慮仔細才能把風險降低	0.4914902448654175 0.4991416931152344 0.6326802372932434 0.5822733044624329 0.4415719211101532
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	同時也發現更深的點--就是為什麼麼想尋求別人的認同 無法做自己	0.48235884308815 0.4694667160511017 0.6019180417060852 0.5716845989227295 0.41606104373931885
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	我願意多方嘗試 用各種方式不斷地精進自己的能力。	0.47612065076828003 0.46141165494918823 0.6128309965133667 0.5741599798202515 0.4441852867603302
[1, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我會想得比較仔細周全 盡可能的把事情做到最好。	0.47724637389183044 0.4633493423461914 0.6005018949508667 0.5811976194381714 0.4277089536190033
[1, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	當我的成品完成時 多數的人都覺得有一定的水準。	0.491642564535141 0.4543071985244751 0.6250931024551392 0.5659337043762207 0.42195069789886475
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	在我的心目中 為自己描繪的樣子非常的豐盛又美好。	0.4722706973552704 0.4603906273841858 0.6219276785850525 0.5727771520614624 0.43731775879859924
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我鼓勵自己將進度縮小成自己感到不費力的程度 鼓勵自己每天嘗試。即使沒有做到也不過分苛責自己。	0.48174917697906494 0.4550724923610687 0.6247272491455078 0.5685141086578369 0.44663292169570923
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我欣賞自己很重視個人成長與目標達成 希望自己能快速的達成理想我	0.48391956090927124 0.45806366205215454 0.6194509863853455 0.5627813339233398 0.4281069338321686
[1, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	我把沒做到 做不完 做不好當成提醒 而不是焦慮與指責	0.49220195412635803 0.4849322438240051 0.5989434719085693 0.561942994594574 0.43087226152420044
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	完整過程 但事情不會完美 只有沒有去行動	0.47984686493873596 0.47930318117141724 0.5896185636520386 0.5503963828086853 0.41951286792755127
[1, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	想要被看見自己的好 自己先看見自己的好	0.4933396875858307 0.47062361240386963 0.6099549531936646 0.5563541054725647 0.4276754558086395
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	遇到不自信時 先靜下來 緩一下 不急著做決定	0.48208191990852356 0.46802768111228943 0.5998494625091553 0.5827945470809937 0.4372241199016571
[1, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	接受自己當下就是不自信 接受自己的不完美	0.48421987891197205 0.47820571064949036 0.5982488393783569 0.5822144150733948 0.43733251094818115
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	靜下來後思考剛剛的事情 我真正想做的是什麼？確定好 就去試試看吧！	0.4767894148826599 0.46634259819984436 0.6045527458190918 0.5626513957977295 0.43730589747428894
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	然後告訴自己 我很棒 我已經開始邁入為自己而活的第一步 超讚的	0.4821741282939911 0.47148963809013367 0.6027224659919739 0.5850284695625305 0.434131920337677
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	Jeffrey說不用一定要變成像他一樣 他也是有很多缺點譬如太強勢直接 很多人也不一定喜歡他. 做自己就好!	0.4949362874031067 0.4621235430240631 0.6217228770256042 0.568379282951355 0.44593527913093567
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	不自信讓我容易去發現別人的優點 看到人的美好 連大家覺得不好相處的同事 例如Bonnie超自信脾氣不好與Gavin善妒防範team member 我也都能看到他們自信與努力工作融合團段的優點 並試著跟他們相處. 也形成Gavin向Jeffrey推薦我 Jeffrey想找我加入BQP契機.	0.4771674871444702 0.46038272976875305 0.6186435222625732 0.5737310647964478 0.4238213300704956
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	不自信也鞭策我努力去成長學習 向我覺得厲害的人學習.	0.48880526423454285 0.46566352248191833 0.6134557127952576 0.567805826663971 0.42695048451423645
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	不自信有時候是我的一種偽裝 在群體中不會太特出突兀而成為箭靶.	0.48547127842903137 0.47169432044029236 0.6071059107780457 0.569968044757843 0.43407729268074036
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	不喜歡正面衝突/溫和派讓我比較會採溝通協調的方式去處理事情 有時候一些私下的溝通 反而更讓對方願意分享狀況而喬出解決方案.	0.4845324754714966 0.46613457798957825 0.6102384924888611 0.5854742527008057 0.4212070405483246
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	不自信跟溫和讓我比較有同理心 我以前會覺得每個人做出些事都是有他的原因的 了解原因後就更認識個人 其實每個人都有他可愛之處.	0.4855888783931732 0.4566611647605896 0.6131713390350342 0.5701536536216736 0.4305657744407654
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	相信自己可以 用筆記跟照片紀錄每一個自己達成的時候	0.4750581383705139 0.45471757650375366 0.6008601188659668 0.5725881457328796 0.42800334095954895
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我覺得找到自己的木馬就是進步的開始 至少我願意去正視自己的缺點	0.4746258854866028 0.45725998282432556 0.6074993014335632 0.5892645716667175 0.4416649639606476
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	試著讓隨便不再只是隨便 而是隨和與調和	0.47594764828681946 0.4708458185195923 0.5764067769050598 0.5654434561729431 0.4296678304672241
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	有時候我太過強勢 會給人咄咄逼人的感覺 讓別人幫我做決定 說不定會給人較易親近的感覺	0.48231545090675354 0.47082510590553284 0.6203739047050476 0.5598263144493103 0.4257409870624542
[1, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	不想做決定而詢問別人 也許會讓別人有一種「自己被需要的感覺」 其實也是不錯的	0.4926410913467407 0.4607723653316498 0.6160244345664978 0.5697081089019775 0.42451807856559753
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我贊同對方的觀點 讓對方感覺舒服	0.49208393692970276 0.4698730707168579 0.5926860570907593 0.5943142771720886 0.41884201765060425
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我善於傾聽 接納別人的想法	0.4877011477947235 0.4748416543006897 0.6100228428840637 0.5818541646003723 0.4039543569087982
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我很友善 總是顧慮到別人的心情	0.4923256039619446 0.46258729696273804 0.6157904863357544 0.5867384076118469 0.42404237389564514
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	帳單拿到第一時間就去完成	0.48914068937301636 0.47196730971336365 0.5914239287376404 0.5899173617362976 0.439022034406662
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	規劃行程	0.45922601222991943 0.4974753260612488 0.5704334378242493 0.6021050214767456 0.4388905465602875
[1, 0, 0, 1, 0]	[0, 1, 1, 1, 0]	想到就做	0.4700404107570648 0.5004667639732361 0.5806599259376526 0.59599769115448 0.4296424090862274
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	多提醒自己行動吧！	0.48766589164733887 0.4492492377758026 0.6149678826332092 0.5851001143455505 0.44611039757728577
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我希望下次(未來)不要再犯同樣的錯誤 想要讓自己變得更好	0.49200761318206787 0.4654960632324219 0.606536865234375 0.5604031085968018 0.43087708950042725
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	我重視人與人之間的良好關係 只是大部分的人都是生命中的過客 在乎珍惜感恩的人才是我該做的。	0.49551722407341003 0.45617571473121643 0.6272748708724976 0.5756350755691528 0.42301085591316223
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	我做決定時 會從多個層面思考評估 讓個過程系統化 就不會因為過度發散失去耐心 浪費個潛能。	0.4763963520526886 0.4588771164417267 0.6192155480384827 0.5505689978599548 0.4309636652469635
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我是非常重視件事情 願意花時間來準備	0.49044862389564514 0.46960532665252686 0.6068410873413086 0.5856949090957642 0.4251894950866699
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	看到個面象的自己 我會好好跟個問題和平相處 一起努力學習讓彼此之間更開闊的開始。 我是很珍惜個機會的 我願意努力學習讓事情如我所願。	0.4849214553833008 0.45672348141670227 0.6185101270675659 0.5750730037689209 0.42945700883865356
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	也我願意花時間來準備好內容與大家分享	0.4849114418029785 0.47295498847961426 0.6024093627929688 0.5997955799102783 0.4394281506538391
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	代表我相當重視他人感受 會希望身邊的人都能開心快樂 都在好的狀態裡。	0.484653115272522 0.46667274832725525 0.617888331413269 0.5719624161720276 0.4377884566783905
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	代表我是一個心思細膩的人 會去關注身邊每個人的情緒 也能在很短時間覺察對方是否需要被關心。	0.4873789846897125 0.453748494386673 0.627245306968689 0.5730593800544739 0.4279223382472992
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	代表我擁有關懷他人的強大能量 在對方需要協助的時候也能第一時間就出手協助 讓事情往正向積極面發展。	0.4811996817588806 0.46072378754615784 0.6240671277046204 0.5756717920303345 0.4310208857059479
[0, 1, 1, 1, 0]	[0, 0, 1, 1, 0]	我有更充足時間可以安排自己的事	0.4997563362121582 0.4693092405796051 0.6170943379402161 0.569424033164978 0.43083512783050537
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	為了有更多時間我要更有效率	0.49946174025535583 0.460962176322937 0.6225629448890686 0.5514401793479919 0.427884966135025
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	其實適度休息是需要的	0.4892139434814453 0.4676254689693451 0.6099700927734375 0.5852704644203186 0.44026312232017517
[1, 0, 1, 0, 0]	[1, 0, 1, 1, 0]	我更有時間陪伴重要的人	0.5084763169288635 0.4787743389606476 0.6242716908454895 0.5603707432746887 0.4234791696071625
[0, 1, 1, 0, 0]	[0, 0, 1, 1, 0]	在工作上我總是能在期限內完成自己的工作	0.4765278697013855 0.4692591428756714 0.6020548343658447 0.5834769010543823 0.42767125368118286
[0, 0, 1, 1, 0]	[1, 0, 1, 1, 0]	我可以注意到許多細節之處	0.5018512606620789 0.45869094133377075 0.6327629685401917 0.6080876588821411 0.4472428560256958
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	我可以同時完成許多事情	0.4914444088935852 0.466869592666626 0.6305201649665833 0.5889783501625061 0.4322819709777832
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我不會太容易成為自大的人	0.49595943093299866 0.4822351038455963 0.6199262142181396 0.5864132046699524 0.44838523864746094
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我會因為匱乏一直保有學習的心態	0.493063747882843 0.4698174297809601 0.5993745923042297 0.5848813056945801 0.4171661138534546
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我的人生只會一直不斷往前進步	0.4965933561325073 0.4690447449684143 0.6266932487487793 0.5966179966926575 0.41949039697647095
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我就像海綿一樣會不斷吸收	0.4911954700946808 0.493080198764801 0.6030481457710266 0.5682559609413147 0.47782468795776367
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我不會跟別人競爭 不會破壞關係	0.4864957928657532 0.46296626329421997 0.5935248136520386 0.5590571761131287 0.425508975982666
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我是一個虛懷若谷的人	0.49301332235336304 0.44545313715934753 0.6250736117362976 0.5884833931922913 0.4434688091278076
[1, 1, 0, 1, 0]	[1, 0, 1, 1, 0]	我很會發現別人的優點	0.5065169334411621 0.4628795087337494 0.6305686831474304 0.5835297107696533 0.4340393841266632
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我也會知道那些沒自信的人在想什麼 可以鼓勵支持他	0.487308144569397 0.47123655676841736 0.6167442202568054 0.5670983791351318 0.4281962215900421
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	我是一個行動力十足的人	0.4831700623035431 0.45696207880973816 0.6205079555511475 0.5531639456748962 0.4270133972167969
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	我一直精進 我是個有活力的人	0.4961881935596466 0.44432833790779114 0.6214426159858704 0.57666015625 0.437653124332428
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	感謝自己 自己所賺的金錢都足夠生活。	0.48552778363227844 0.4551812410354614 0.6129899621009827 0.5875158905982971 0.44427406787872314
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	感謝自己 自己的生活很自由。	0.4772571623325348 0.45634785294532776 0.6108418703079224 0.6103458404541016 0.4493904411792755
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	感謝自己 自己有一份穩定的工作、同事對你很友善。	0.47671380639076233 0.4548858404159546 0.6121779084205627 0.5817877650260925 0.44256529211997986
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	感謝自己 目前沒有感染到疫情 還可以乖乖在家不亂跑。	0.48981207609176636 0.4630448818206787 0.6078991293907166 0.572422206401825 0.4382988214492798
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	感謝自己 自己依然生存在個世界上 雖然無法事事如意 但是可以探索世界的美好。	0.4806457757949829 0.4699569642543793 0.6199296116828918 0.5760696530342102 0.4290142357349396
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	試著適時說不 妳會發現眼前妳的煩惱少了許多	0.4997917115688324 0.46143683791160583 0.6165086627006531 0.572380542755127 0.4271285831928253
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	不會的事物請教別人 會獲得更多不一樣的經驗值	0.49056750535964966 0.46018660068511963 0.6081492900848389 0.5602203011512756 0.43742355704307556
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	其實 不完美並沒那麼糟糕 因為樣人生才有趣阿！	0.4881787598133087 0.4763740599155426 0.5951944589614868 0.5682572722434998 0.4356350302696228
[1, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	當出現不自信的反應想太多時 反而是能發展另一種細心的優點。	0.49070271849632263 0.46036186814308167 0.6281870007514954 0.5761343836784363 0.4314817786216736
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	換個角度看 當處理事情時 我的不自信其實能夠讓我不會橫衝直撞。	0.4845294654369354 0.45689690113067627 0.6133022904396057 0.5580105781555176 0.44201841950416565
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	我的不自信太在意別人眼光 從另一方面來看會更容易懂得同理心。	0.4795319736003876 0.469003289937973 0.6099382042884827 0.5671836733818054 0.42568904161453247
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	多練習說出自己的想法會發現其實沒有很難	0.49342966079711914 0.464118629693985 0.607587456703186 0.5844191312789917 0.42123961448669434
[1, 0, 0, 0, 1]	[1, 0, 1, 1, 0]	勇敢的拒絕別人 是件很好的事	0.5108518004417419 0.4551171362400055 0.5985074639320374 0.5925428867340088 0.4171774685382843
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	就算你說錯了那又怎樣！我們不要責備自己了好不好 對自己友善一點吧 就像你總是用很大的同理心包容別人一樣 他們也一定能理解你的	0.4846118688583374 0.4630907475948334 0.6149041652679443 0.5716378092765808 0.43667060136795044
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	你在當下已經盡力幫助別人了 你有努力過了！你不是隨便回答 就是最好最棒的結果！接納並臣服宇宙的安排 信任宇宙的智慧吧～～	0.4790053367614746 0.4655756652355194 0.6056100726127625 0.5625637769699097 0.41905954480171204
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	相信自己吧～你已經很棒了！不論你說了或做了什麼別人會因為你的幫助而感激你的 就算不說出來 他們也一定能感受到你話裡傳達的那份善意與愛！	0.4744139313697815 0.46534350514411926 0.6176964640617371 0.5877535343170166 0.4282694160938263
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	你會樣子想 就代表你是個很善良的人呀 總是會覺得自己是不是說錯或做錯而影響到他人 代表你一直都在替別人著想 個世界像你樣的人已經不多了 大家不是抱怨 就在責怪他人。你很特別 你身上的個特質也很特別～	0.4854715168476105 0.453240305185318 0.6249572038650513 0.5766876935958862 0.43241193890571594
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	如果今天是人生最後一天 你還會擔心別人的看法嗎? 把每一天當成是最後一天來過 確認自己是的每個決定是符合愛、信任、勇氣和自信上！	0.4865674078464508 0.4575350284576416 0.625478982925415 0.5794498324394226 0.4243813157081604
[1, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	總是活在規範中的妳 其實很適合從事訂定規矩規則	0.48606494069099426 0.4798016846179962 0.6062615513801575 0.5857033729553223 0.43266940116882324
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	糾察隊 你可以輕鬆辨別不合規的事物	0.489236980676651 0.4833383560180664 0.590237021446228 0.5621368288993835 0.44279220700263977
[0, 0, 1, 1, 0]	[0, 0, 1, 1, 0]	冷靜淡定是與妳同在的優點	0.4889672100543976 0.4829050898551941 0.6238713264465332 0.5754358172416687 0.4436299800872803
[0, 1, 0, 0, 1]	[0, 0, 1, 1, 0]	沒自信是讓我謙虛一點 多去請教別人	0.49676451086997986 0.46564915776252747 0.60330730676651 0.5824485421180725 0.433095246553421
[0, 0, 1, 0, 1]	[0, 0, 1, 1, 0]	突然發傻是因為我需要多一些時間反應與思考	0.48801949620246887 0.46594101190567017 0.6191741824150085 0.5801674723625183 0.4350981116294861
[0, 1, 0, 1, 1]	[0, 0, 1, 1, 0]	不登上舞台我就是安全的 不會被攻擊	0.49727243185043335 0.46863698959350586 0.5812060236930847 0.5711728930473328 0.42233869433403015
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	樣會讓自己更把事情做好	0.4891996681690216 0.4815743565559387 0.6037967205047607 0.5890543460845947 0.4453493654727936
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	重複反覆練習增加自信心 讓自己更熟練	0.47883135080337524 0.4697332978248596 0.6218932271003723 0.5876238346099854 0.43349191546440125
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	可以從中發現哪裡需要修正改進	0.48402777314186096 0.4568607211112976 0.614147424697876 0.5732024908065796 0.43941453099250793
[1, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	自己可以包容他人觀點及理解感受	0.4817023277282715 0.45877477526664734 0.6058147549629211 0.5900442004203796 0.43104225397109985
[1, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	自己對於事項會多方考量再作決定	0.47770148515701294 0.4632294774055481 0.6129412651062012 0.5749033689498901 0.4320310056209564
[0, 0, 1, 0, 0]	[0, 0, 1, 1, 0]	自己對事情處理較認真謹慎	0.475229948759079 0.48292437195777893 0.5905192494392395 0.6061593890190125 0.43706774711608887
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	沒有時間的量詞 自在隨時平行於多個任務 在各自的專案管理中完成最終想要的結果。	0.4706278443336487 0.46902742981910706 0.620570957660675 0.5578250885009766 0.41887906193733215
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	盡情於當下就是成功 沒有計算時間/效益個判別因子	0.48365718126296997 0.46359455585479736 0.6177536845207214 0.5511009693145752 0.4388759434223175
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	練習成為自己 每一步都不願錯過	0.48715463280677795 0.4683663547039032 0.6122657060623169 0.5972662568092346 0.44037434458732605
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	思考幫助你更認識自己	0.47649842500686646 0.4784514009952545 0.6247003078460693 0.5623229742050171 0.4632733464241028
[0, 1, 0, 0, 1]	[1, 0, 1, 1, 0]	錯過 也是因為時機不合適	0.5119965672492981 0.4736570119857788 0.619478166103363 0.5771588087081909 0.4410121738910675
[1, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	先抓到問題的核心 然後直覺的快速地找尋相關聯的因果關係	0.49233606457710266 0.45986080169677734 0.6102860569953918 0.5862277150154114 0.4170280694961548
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	根據上面快速的找出相關聯的因果關係後 用更大的框架 在依照邏輯 常識去做排列 增減跟刪除.	0.48207342624664307 0.4639222025871277 0.6069916486740112 0.5741258263587952 0.41487473249435425
[1, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	擇善固執	0.48301932215690613 0.4852069318294525 0.6013432145118713 0.535600483417511 0.4499356746673584
[0, 1, 0, 1, 0]	[0, 0, 1, 1, 0]	不會特意迎合別人 忠於自己的想法	0.49419161677360535 0.4760209619998932 0.6000808477401733 0.5656189322471619 0.41140738129615784
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	想法創意很多 所以有很多嘗試的方式不一定要別的	0.49366486072540283 0.45745277404785156 0.6157316565513611 0.5742413401603699 0.42502766847610474
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	敏感讓我可以結合自身經驗 透過細微的觀察(表情變化、肢體語言、講話口氣) 了解身邊的人的需求	0.47895732522010803 0.4661150872707367 0.6315596103668213 0.5705692768096924 0.42379841208457947
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	敏感讓我感知到別人的情緒讓我多了同理心	0.47837626934051514 0.4456423223018646 0.6126924753189087 0.5762771964073181 0.4199463427066803
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	敏感讓我開始向內去覺察我所敏感的事哪些是自己真的在意的 也許有一部份僅僅只是感受	0.4750339388847351 0.4616204798221588 0.6031139492988586 0.5867230296134949 0.43181753158569336
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	抽空冥想大腦安靜了那些感受也消失了	0.49017763137817383 0.4588296413421631 0.6181192398071289 0.5945726633071899 0.43567270040512085
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	心思細膩 懂得察言觀色 察覺團體內的氛圍與變動	0.47112759947776794 0.4737609326839447 0.5959721207618713 0.5712167620658875 0.4234391450881958
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	在決定之前 不僅深思熟慮 還瞻前顧後 一定會仔細考慮每個決定可能造成的後果 仔細分析做這件事對自己的影響、對他人的影響	0.48630112409591675 0.4658324420452118 0.6232942342758179 0.5758770704269409 0.43006858229637146
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	當發生不順自己的事情時 我會先讓自己冷靜下來後 再去思考問題點在哪？是什麼樣的感覺勾起自己的不愉快經驗 自己就能明白了	0.48149341344833374 0.4693301320075989 0.6141180992126465 0.5709300637245178 0.431599885225296
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	很多時候是受原生家庭影響 我的成長過程大多是順著父母的意思的 自己沒有一點空間、想法 造就了我遇到一些重大事件就會回家請父母幫助 現在面對小孩的問題時 我會想起這個問題點 試著讓孩子自己做決定、處理自己的事情 學會對自己負責。	0.47547778487205505 0.44619020819664 0.6182786226272583 0.5810940861701965 0.4298592209815979
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	現在覺察的能力慢慢的進步 在很多時候能立即感受自己的情緒 面對和自己不同想法、作法的人都能先用理解、接納的方式來對待 這也是我學習到很重要的一點。	0.47846806049346924 0.45484110713005066 0.6194145083427429 0.5791752934455872 0.4142167270183563
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	害怕表現 不希望目光聚焦在自己身上	0.4979148209095001 0.4781602919101715 0.6098984479904175 0.5655907392501831 0.42910465598106384
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	覺得不真實 覺得我表現出來的樣子不是真正的我 是假裝堅強的我	0.4954985976219177 0.4601643681526184 0.6114936470985413 0.5619455575942993 0.43320581316947937
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	害怕負責任 怕答應的事做不到	0.4823265075683594 0.4806258976459503 0.6181080937385559 0.5676904320716858 0.43394067883491516
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	不敢下決定 怕事後反悔或結果不合意	0.48000237345695496 0.48908671736717224 0.5973489880561829 0.5619544982910156 0.4381231963634491
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	害怕失敗 怕被笑; 誰笑?媽媽	0.46155017614364624 0.47362759709358215 0.613287627696991 0.5637373328208923 0.4166983962059021
